time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785589649.807,0.370970,0.031818,0.372332,0.692
1785589649.840,0.504990,0.003461,0.505002,-0.328
1785589649.909,0.337878,-0.025441,0.338835,-1.088
1785589649.943,0.295861,-0.001106,0.295863,-0.584
1785589649.975,0.272286,0.011281,0.272520,-0.253
1785589650.008,0.311737,-0.009808,0.311891,-0.190
1785589650.044,0.329751,-0.023095,0.330559,-0.155
1785589650.074,0.319107,-0.012454,0.319350,-0.120
1785589650.107,0.334242,0.007416,0.334324,-0.544
1785589650.140,0.325423,-0.007448,0.325508,-0.734
1785589650.176,0.309474,-0.015269,0.309851,-0.445
1785589650.211,0.308347,-0.003882,0.308371,-0.086
1785589650.242,0.302701,0.005902,0.302758,0.052
1785589650.277,0.303616,0.000868,0.303617,-0.011
1785589650.308,0.307103,-0.005582,0.307154,-0.264
1785589650.341,0.301626,-0.005964,0.301685,-0.139
1785589650.374,0.304117,-0.003710,0.304139,0.002
1785589650.408,0.310262,-0.005901,0.310319,0.076
1785589650.440,0.307145,-0.006167,0.307207,-0.034
1785589650.476,0.317823,-0.005023,0.317863,-0.059
1785589650.512,0.319770,-0.006491,0.319836,0.029
1785589650.543,0.322595,-0.005830,0.322648,0.064
1785589650.575,0.324089,-0.000319,0.324089,0.010
1785589650.608,0.313845,-0.001984,0.313851,-0.073
1785589650.641,0.308891,-0.004724,0.308927,0.097
1785589650.674,0.313184,-0.005461,0.313232,0.123
1785589650.708,0.318144,-0.005564,0.318192,0.087
1785589650.740,0.315317,-0.006505,0.315384,0.062
1785589650.776,0.302950,-0.000755,0.302951,0.108
1785589650.809,0.297753,0.006661,0.297828,0.110
1785589650.842,0.303044,0.001169,0.303046,-0.015
1785589650.878,0.308943,-0.009355,0.309084,-0.002
1785589650.909,0.313074,-0.008947,0.313201,0.127
1785589650.941,0.323135,-0.003558,0.323155,0.134
1785589650.974,0.324385,-0.009042,0.324511,0.127
1785589651.007,0.324253,-0.015550,0.324625,0.239
1785589651.041,0.330695,-0.008668,0.330808,0.328
1785589651.078,0.313960,0.004147,0.313988,0.198
1785589651.113,0.303521,0.002645,0.303532,0.065
1785589651.142,0.308421,-0.005608,0.308472,0.035
1785589651.175,0.310887,-0.007164,0.310970,0.043
1785589651.211,0.310882,0.000659,0.310883,0.073
1785589651.241,0.315847,0.001766,0.315852,0.061
1785589651.275,0.319853,-0.003913,0.319877,0.067
1785589651.307,0.320121,-0.004321,0.320150,0.062
1785589651.340,0.324028,-0.001688,0.324032,0.020
1785589651.376,0.325145,-0.000817,0.325146,0.019
1785589651.409,0.312834,-0.002491,0.312844,0.068
1785589651.442,0.308313,-0.006136,0.308374,0.053
1785589651.475,0.318849,-0.010665,0.319028,0.099
1785589651.508,0.325326,-0.017861,0.325816,0.199
1785589651.541,0.324789,-0.008912,0.324911,0.077
1785589651.574,0.326716,0.003151,0.326731,-0.059
1785589651.607,0.315638,-0.002335,0.315646,-0.021
1785589651.640,0.308387,-0.011057,0.308585,0.033
1785589651.677,0.317249,0.005856,0.317303,0.017
1785589651.709,0.325257,0.013226,0.325525,-0.103
1785589651.745,0.323974,0.002924,0.323987,-0.149
1785589651.776,0.325860,-0.008921,0.325982,-0.111
1785589651.808,0.321335,0.001085,0.321337,0.067
1785589651.842,0.314717,0.009351,0.314856,-0.005
1785589651.874,0.315092,0.001979,0.315098,-0.066
1785589651.907,0.316728,-0.009015,0.316857,-0.109
1785589651.941,0.318891,-0.007463,0.318978,-0.046
1785589651.977,0.320173,-0.001463,0.320176,0.029
1785589652.009,0.324242,-0.000559,0.324243,0.104
1785589652.044,0.322959,0.005732,0.323010,-0.035
1785589652.076,0.318701,0.004390,0.318731,-0.091
1785589652.108,0.311283,-0.006571,0.311352,-0.136
1785589652.141,0.310073,-0.002310,0.310082,0.064
1785589652.174,0.317714,0.011960,0.317939,-0.009
1785589652.207,0.319215,0.010894,0.319401,-0.230
1785589652.242,0.325346,-0.001727,0.325351,-0.180
1785589652.276,0.327059,-0.003407,0.327077,-0.022
1785589652.309,0.321499,0.009541,0.321641,0.161
1785589652.342,0.320314,0.012937,0.320575,-0.074
1785589652.375,0.320619,-0.000010,0.320619,-0.128
1785589652.408,0.323691,-0.007507,0.323778,-0.077
1785589652.441,0.323569,-0.000673,0.323569,0.093
1785589652.474,0.321764,0.005108,0.321804,0.093
